Year,Year Close,Year High,Year Low,Year Open,Annual % Change,Average Closing Price
1991,417.09,417.09,311.49,326.45,0.2631,376.19
1990,330.22,368.95,295.46,359.69,-0.0656,334.63
1989,353.4,359.8,275.31,275.31,0.2725,323.05
1988,277.72,283.66,242.63,255.94,0.124,265.88
1987,247.08,336.77,223.92,246.45,0.0203,287
1986,242.17,254,203.49,209.59,0.1462,236.39
1985,211.28,212.02,163.68,165.37,0.2633,186.83
1984,167.24,170.41,147.82,164.04,0.014,160.46
1983,164.93,172.65,138.34,138.34,0.1727,160.47
1982,140.64,143.02,102.42,122.74,0.1476,119.71
1981,122.55,138.12,112.77,136.34,-0.0973,128.04
1980,135.76,140.52,98.22,105.76,0.2577,118.71
1979,107.94,111.27,96.13,96.73,0.1231,103
1978,96.11,106.99,86.9,93.82,0.0106,96.11
1977,95.1,107,90.71,107,-0.115,98.18
1976,107.46,107.83,90.9,90.9,0.1915,102.04
1975,90.19,95.61,70.04,70.23,0.3155,86.18
1974,68.56,99.8,62.28,97.68,-0.2972,82.78
1973,97.55,120.24,92.16,119.1,-0.1737,107.44
1972,118.05,119.12,101.67,101.67,0.1563,109.13
1971,102.09,104.77,90.16,91.15,0.1079,98.32
1970,92.15,93.46,69.29,93,0.001,83.15
1969,92.06,106.16,89.2,103.93,-0.1136,97.77
1968,103.86,108.37,87.72,96.11,0.0766,98.38
1967,96.47,97.59,80.38,80.38,0.2009,91.96
1966,80.33,94.06,73.2,92.18,-0.1309,85.18
1965,92.43,92.63,81.6,84.23,0.0906,88.16
1964,84.75,86.28,75.43,75.43,0.1297,81.37
1963,75.02,75.02,62.69,62.69,0.1889,69.86
1962,63.1,71.13,52.32,70.96,-0.1181,62.32
1961,71.55,72.64,57.57,57.57,0.2313,66.27
1960,58.11,60.39,52.2,59.91,-0.0297,55.85
1959,59.89,60.71,53.58,55.44,0.0848,57.42
1958,55.21,55.21,40.33,40.33,0.3806,46.2
1957,39.99,49.13,38.98,46.2,-0.1431,44.42
1956,46.67,49.64,43.11,45.16,0.0262,46.64
1955,45.48,46.41,34.58,36.75,0.264,40.5
1954,35.98,35.98,24.8,24.95,0.4502,29.72
1953,24.81,26.66,22.71,26.54,-0.0662,24.72
1952,26.57,26.59,23.09,23.8,0.1178,24.45
1951,23.77,23.85,20.69,20.77,0.1646,22.32
1950,20.41,20.43,16.65,16.66,0.2178,18.39
1949,16.76,16.79,13.55,14.95,0.1026,15.24
1948,15.2,17.06,13.84,15.34,-0.0065,15.51
1947,15.3,16.2,13.71,15.2,0,15.15
1946,15.3,19.25,14.12,17.25,-0.1187,17.07
1945,17.36,17.68,13.21,13.33,0.3072,15.14
1944,13.28,13.29,11.56,11.66,0.138,12.47
1943,11.67,12.64,9.84,9.84,0.1945,11.52
1942,9.77,9.77,7.47,8.89,0.1243,8.67
1941,8.69,10.86,8.37,10.48,-0.1786,9.83
1940,10.58,12.77,8.99,12.63,-0.1529,11.01
1939,12.49,13.23,10.18,13.08,-0.0545,12.05
1938,13.21,13.91,8.5,10.52,0.2521,11.48
1937,10.55,18.68,10.17,17.02,-0.3859,15.41
1936,17.18,17.69,13.4,13.4,0.2792,15.45
1935,13.43,13.46,8.06,9.51,0.4137,10.58
1934,9.5,11.82,8.36,10.11,-0.0594,9.83
1933,10.1,12.2,5.53,6.83,0.4659,9.04
1932,6.89,9.31,4.4,7.82,-0.1515,6.92
1931,8.12,18.17,7.72,15.85,-0.4707,13.66
1930,15.34,25.92,14.44,21.18,-0.2848,21
1929,21.45,31.86,17.66,24.81,-0.1191,26.19
1928,24.35,24.35,16.95,17.76,0.3788,19.94
